"","ETA","Covariable","full_AIC","reduced_AIC","full_df","reduced_df","LRT","p","interp"
"1","eta_Cl_SAEM","AGEA",-40.7014696099485,22.1108316687513,10.4968547622493,2,79.8060108031984,4.13034290530713e-19,"< 0.05"
"2","eta_Cl_SAEM","ALBGDL",-110.74225888914,22.1108316687513,10.7940125368916,2,150.441115631674,1.38849163082317e-34,"< 0.05"
"3","eta_Cl_SAEM","CLCRMLMIN",-297.100962633494,22.1108316687513,10.9660359779843,2,337.143866258214,2.67234992756599e-75,"< 0.05"
"4","eta_Cl_SAEM","DIND",-0.0326517560608046,22.1108316687513,8.59187646981987,2,35.3272363644518,2.78707083042381e-09,"< 0.05"
"5","eta_Cl_SAEM","HCM",-68.2449238691065,22.1108316687513,10.8248337031494,2,108.005422944157,2.68043771813788e-25,"< 0.05"
"6","eta_Cl_SAEM","IMCKGM2",-271.169962865912,22.1108316687513,10.9691943639015,2,311.219183262466,1.18477390352099e-69,"< 0.05"
"7","eta_Cl_SAEM","PROGDL",-271.18116552818,22.1108316687513,10.9670972871108,2,311.226191771153,1.18061621102868e-69,"< 0.05"
"8","eta_Cl_SAEM","RAL",-207.819978842082,22.1108316687513,10.9221802012076,2,247.775170913248,7.93379538252215e-56,"< 0.05"
"9","eta_Cl_SAEM","SCM2",-158.544148238808,22.1108316687513,10.4884469471232,2,197.631873801806,6.86475564633908e-45,"< 0.05"
"10","eta_Cl_SAEM","SCRMGDL",-228.881005461928,22.1108316687513,10.5900856787485,2,268.172008488176,2.83999097384811e-60,"< 0.05"
"11","eta_Cl_SAEM","WTKG",-205.806606395238,22.1108316687513,10.9252308907956,2,245.76789984558,2.17323479076572e-55,"< 0.05"
"12","eta_Q_SAEM","AGEA",82.4306819249983,482.33674720332,10.9565773372568,2,417.819219952835,7.27983843359877e-93,"< 0.05"
"13","eta_Q_SAEM","ALBGDL",365.510336880798,482.33674720332,9.22012159833363,2,131.266653519189,2.1648284510768e-30,"< 0.05"
"14","eta_Q_SAEM","CLCRMLMIN",321.149869396644,482.33674720332,10.9464188192959,2,179.079715445267,7.69765702119311e-41,"< 0.05"
"15","eta_Q_SAEM","DIND",482.530991799256,482.33674720332,3.97948214401737,2,3.7647196920986,0.0523446310253284,"NS"
"16","eta_Q_SAEM","HCM",77.061660068577,482.33674720332,10.9503314734958,2,423.175750081734,4.96835736358213e-94,"< 0.05"
"17","eta_Q_SAEM","IMCKGM2",169.070680559319,482.33674720332,10.7188444821637,2,330.703755608328,6.75318947127656e-74,"< 0.05"
"18","eta_Q_SAEM","PROGDL",316.479749848867,482.33674720332,10.9735700425786,2,183.80413743961,7.15928407432145e-42,"< 0.05"
"19","eta_Q_SAEM","RAL",192.916917759023,482.33674720332,10.9562270861638,2,307.332283616625,8.32485602690893e-69,"< 0.05"
"20","eta_Q_SAEM","SCM2",280.352937837955,482.33674720332,10.9798259776127,2,219.94346132059,9.30499460764479e-50,"< 0.05"
"21","eta_Q_SAEM","SCRMGDL",85.663063435536,482.33674720332,10.6040574205222,2,413.881798608828,5.2380325580775e-92,"< 0.05"
"22","eta_Q_SAEM","WTKG",347.109368766758,482.33674720332,10.9071596948967,2,153.041697826356,3.751110996826e-35,"< 0.05"
"23","eta_V1_SAEM","AGEA",-373.422445377816,-84.9646674881174,10.9636393320295,2,306.385056553758,1.33884554288037e-68,"< 0.05"
"24","eta_V1_SAEM","ALBGDL",-283.067739264707,-84.9646674881174,10.9798645666213,2,216.062800909832,6.53464013740747e-49,"< 0.05"
"25","eta_V1_SAEM","CLCRMLMIN",-442.194271872981,-84.9646674881174,10.9783203720657,2,375.186245128995,1.38998049020748e-83,"< 0.05"
"26","eta_V1_SAEM","DIND",-106.912709478356,-84.9646674881174,5.57351834511624,2,29.0950786804714,6.89118133652829e-08,"< 0.05"
"27","eta_V1_SAEM","HCM",-384.754963073747,-84.9646674881174,10.5521499544185,2,316.894595494466,6.87599794749284e-71,"< 0.05"
"28","eta_V1_SAEM","IMCKGM2",-327.508442460213,-84.9646674881174,10.9378992704254,2,260.419573512947,1.39014279693963e-58,"< 0.05"
"29","eta_V1_SAEM","PROGDL",-451.653838906153,-84.9646674881174,10.9862267731077,2,384.661624964251,1.20245348415556e-85,"< 0.05"
"30","eta_V1_SAEM","RAL",-409.608112705628,-84.9646674881174,10.9373383290863,2,342.518121875683,1.80498800957162e-76,"< 0.05"
"31","eta_V1_SAEM","SCM2",-138.901718208819,-84.9646674881174,10.6703578703792,2,71.2777664614599,3.10312977073417e-17,"< 0.05"
"32","eta_V1_SAEM","SCRMGDL",-429.675759400669,-84.9646674881174,10.9017304141788,2,362.51455274091,7.98091254969957e-81,"< 0.05"
"33","eta_V1_SAEM","WTKG",-325.478050206289,-84.9646674881174,10.9533600748901,2,258.420102867952,3.79227611218488e-58,"< 0.05"
"34","eta_V2_SAEM","AGEA",141.199348050953,533.738827365704,10.9788424336076,2,410.497164181967,2.85697707456819e-91,"< 0.05"
"35","eta_V2_SAEM","ALBGDL",195.326857806521,533.738827365704,10.97720744681,2,356.366384452804,1.7410221778615e-79,"< 0.05"
"36","eta_V2_SAEM","CLCRMLMIN",316.025440399176,533.738827365704,10.9663209820375,2,235.646028930603,3.50026669195478e-53,"< 0.05"
"37","eta_V2_SAEM","DIND",490.425929526381,533.738827365704,7.88713826247215,2,55.0871743642675,1.15300832814731e-13,"< 0.05"
"38","eta_V2_SAEM","HCM",-5.18356956553497,533.738827365704,10.9628700001416,2,556.848136931523,4.07622987496639e-123,"< 0.05"
"39","eta_V2_SAEM","IMCKGM2",417.573116198163,533.738827365704,10.9423025964422,2,134.050316360426,5.32682359821334e-31,"< 0.05"
"40","eta_V2_SAEM","PROGDL",341.146542328721,533.738827365704,10.8435037087733,2,210.27929245453,1.19380198662462e-47,"< 0.05"
"41","eta_V2_SAEM","RAL",280.355722980017,533.738827365704,10.9779277635001,2,271.338959912687,5.79550654547506e-61,"< 0.05"
"42","eta_V2_SAEM","SCM2",193.194158881923,533.738827365704,10.951407847713,2,358.447484179208,6.13256013155577e-80,"< 0.05"
"43","eta_V2_SAEM","SCRMGDL",58.089196150812,533.738827365704,10.8277005096244,2,493.305032234141,2.72069358051965e-109,"< 0.05"
"44","eta_V2_SAEM","WTKG",197.472787281046,533.738827365704,10.9380431712596,2,354.142126427177,5.31065169114352e-79,"< 0.05"
