A,P1,P2,P3,P4,P5,P6,crit
1,0.9996,0.4666667,1.4,2.8,4.6666667,7.308,0.006284542
2,0.8468833,0.4888889,1.4666667,2.9333333,4.8888889,7.0035,0.006304525
3,0.9174569,0.4740741,1.4222222,2.8444444,4.7407407,7.500125,0.006687592
4,0.8469797,0.4839506,1.4518519,2.9037037,4.8395062,7.3892604,0.006724859
5,0.8763935,0.4773663,1.4320988,2.8641975,4.7736626,7.6283342,0.006922071
6,0.843606,0.4817558,1.4452675,2.890535,4.8175583,7.5928247,0.006953346
7,0.7931419,0.483219,1.4496571,2.8993141,4.8321902,7.9526074,0.007429251
8,0.8183739,0.4324874,1.2974623,2.5949246,6.8248743,7.772716,0.007816415
9,0.8337626,0.4755201,1.4265604,2.8531207,5.0468679,7.716856,0.008519067
10,0.8150928,0.4304089,1.6912266,2.5824531,5.5679774,7.8140598,0.007219214
11,0.8081069,0.4398516,1.5528883,2.6391099,5.6948128,7.9596051,0.008103783
12,0.80057179999999994,0.3953223,1.4970781,2.3719339,5.9732849,7.8896628,0.008190125
13,0.8429066,0.3828044,1.563228,2.2968264,6.5214596,7.7460739,0.008473852
14,0.8063507,0.3269582,1.5339611,2.7617493,6.860803,7.8407059,0.008709545
15,0.7974676,0.402611,1.5452814,2.0823324,7.4810706,7.8442745,0.009141271
16,0.8094997,0.3629361,1.3054065,2.3331723,7.5507909,7.8702862,0.009584118
17,0.8103177,0.4118524,1.5049789,2.5229665,6.2817633,7.8934458,0.009528006
18,0.8073623,0.3909653,1.4777322,2.4019646,6.4467059,7.8587899,0.008571768
19,0.8062609,0.3268884,1.6794004,2.2047459,6.8893235,7.9118093,0.008730156
20,0.8109795,0.3886898,1.5112403,2.4348825,6.6200611,7.8693846,0.009551551
21,0.7697336,0.3502119,1.4544459,2.4427893,7.4281255,7.9856763,0.008891681
22,0.8037055,0.3753406,1.4913441,2.3892883,6.7925342,7.8729064,0.009801315
23,0.8049079,0.3730904,1.5064401,2.4019477,6.8935846,7.8784972,0.009074315
24,0.794368,0.3388914,1.5169677,2.3529574,7.5753652,7.9041768,0.009175317
25,0.8016952,0.3430315,1.5176424,2.5323701,7.0819232,7.869913,0.009919759
26,0.800706,0.3635927,1.5048154,2.3633378,7.1140089,7.8880932,0.009391278
27,0.7909835,0.3720123,1.4844634,2.0607416,7.5976384,7.9315258,0.009406907
28,0.7977125,0.361259,1.5012381,2.3047305,7.2671973,7.8980257,0.00980669
29,0.776009,0.3543552,1.7551925,2.1495934,7.1954492,7.9548766,0.009561792
30,0.7969866,0.3450559,1.611166,2.2184683,7.1567323,7.9157843,0.009877342
31,0.7774703,0.3597869,1.6212675,2.130897,7.5442631,7.9474124,0.00966883
32,0.7908631,0.3779983,1.5595993,2.1541201,7.4486665,7.8920916,0.0100196
33,0.7901123,0.3519659,1.5882444,2.2168257,7.3108251,7.9258721,0.009732135
34,0.7753625,0.3310762,1.5805945,2.297148,7.4352224,7.9910884,0.009774929
35,0.7711967,0.3501453,1.5493995,2.2612165,7.6145295,7.9790466,0.01003326
36,0.775316,0.3506282,1.5195467,2.3257741,7.4609351,7.9685153,0.01008588
37,0.7655907,0.3229488,1.6965261,2.4451205,7.3442831,7.9835128,0.009896316
38,0.7762798,0.3483007,1.6679548,2.2258895,7.3456078,7.9585843,0.01007551
39,0.7795021,0.3243182,1.7772616,2.2050662,7.5077654,7.94488,0.009956254
40,0.7843009,0.3391604,1.5829009,2.3069235,7.5203219,7.9357988,0.01014525
41,0.7748612,0.3275113,1.601362,2.3229011,7.6431873,7.968662,0.0102495
42,0.7791491,0.3375624,1.610318,2.2919908,7.5175985,7.9524496,0.01000659
43,0.7710838,0.3047339,1.6505531,2.4769174,7.4765989,7.9924674,0.01022226
44,0.7717653,0.3246638,1.7145456,2.3705894,7.5994319,7.9492511,0.01006752
45,0.7655175,0.313878,1.7195646,2.4019462,7.5443335,7.9868238,0.01019994
46,0.7689559,0.3235786,1.6826536,2.3924466,7.4542954,7.9768507,0.01028002
47,0.7734495,0.2590513,1.9741711,2.5625004,7.3837474,7.9513742,0.01031427
48,0.7764372,0.2944736,1.7964991,2.3875269,7.5973927,7.9543021,0.01015712
49,0.7760939,0.3098982,1.8772482,2.2732594,7.6153538,7.9259636,0.01034749
50,0.7727273,0.2812497,2.0184015,2.4107284,7.4394876,7.9355363,0.01039053
51,0.7589912,0.2429707,1.9956918,2.7931431,7.5743426,7.9618656,0.01043651
52,0.7693069,0.24251,2.0793132,2.5724453,7.4521207,7.9560374,0.01043937
53,0.7768178,0.2295064,2.1942104,2.5979217,7.4764814,7.9082027,0.0104136
54,0.7725893,0.2629097,1.9838659,2.5341689,7.4548052,7.9458461,0.01049709
55,0.7706848,0.2461732,1.9572081,2.6420933,7.6173445,7.9485363,0.01055917
56,0.7650574,0.2168492,2.2326801,2.7501503,7.46609,7.9278484,0.01053017
57,0.761722,0.1704082,2.2704082,3.0233815,7.3983743,7.9568152,0.0105129
58,0.7616041,0.1865629,2.2593047,2.9255428,7.5401126,7.9405891,0.0104514
59,0.7643995,0.1989185,2.1950715,2.8684655,7.4597281,7.9486642,0.01061124
60,0.7688774,0.2320314,1.9942531,2.7163869,7.5739533,7.9601167,0.01050895
61,0.7544702,0.2202158,1.9660704,2.908104,7.5960526,7.9970671,0.01046236
62,0.7635787,0.2579029,1.8888756,2.650773,7.6582473,7.9727399,0.0105916
63,0.7661707,0.2367431,2.0447735,2.6725596,7.5227314,7.9597616,0.01052655
64,0.7747104,0.2038732,2.0638591,2.6714437,7.6055356,7.9656741,0.01060775
65,0.7659125,0.2306015,2.0331843,2.7124751,7.5606362,7.9619411,0.01063322
66,0.7639882,0.2091813,2.1216065,2.8212111,7.5710371,7.9541342,0.01062013
67,0.7622375,0.2239512,2.0160149,2.7523131,7.6289978,7.9732475,0.01057829
68,0.7576144,0.2024021,2.0726622,2.8633466,7.589491,7.993065,0.01068633
69,0.7596207,0.208574,2.0098452,2.8432554,7.6558176,7.9900349,0.01074388
70,0.7606351,0.1648297,2.1944772,2.9691183,7.5573966,7.9850011,0.01061617
71,0.7804628,0.1659741,2.3070918,2.6441362,7.6120327,7.9364441,0.01050278
72,0.7677721,0.1806868,2.0997103,2.7599934,7.6453867,7.9936881,0.01063935
73,0.7713676,0.1514955,2.2332003,2.8314514,7.5928889,7.9813883,0.01069851
74,0.7646132,0.1751653,2.1627693,2.869028,7.5871277,7.9808584,0.01070853
75,0.7819013,0.1595209,2.2194965,2.6764227,7.6434388,7.9562976,0.01074834
76,0.7672021,0.1432657,2.2801788,2.8699854,7.6400285,7.980563,0.01070461
77,0.7659203,0.1856294,2.1134599,2.8092125,7.6379841,7.9807874,0.010766
78,0.7685255,0.169797,2.1858128,2.8171141,7.6078772,7.9761932,0.01079255
79,0.7763499,0.1590604,2.2318997,2.7132863,7.6493761,7.9668629,0.01085174
80,0.7761075,0.1646253,2.251708,2.7104307,7.6234416,7.956521,0.01080398
81,0.7809799,0.1339221,2.3252713,2.7113109,7.6268695,7.9643195,0.01074866
82,0.7732099,0.1541712,2.2339555,2.7858448,7.6154896,7.9755485,0.01085816
83,0.7730309,0.1455837,2.211796,2.7951838,7.6500881,7.9892389,0.01084668
84,0.7758689,0.1531754,2.222162,2.7228827,7.669573,7.9747749,0.01079875
85,0.7847655,0.1673841,2.1565998,2.5897079,7.6548822,7.967831,0.010791480000000001
86,0.7732941,0.1668973,2.1637906,2.7307295,7.6472123,7.9817878,0.0108717
87,0.7728618,0.1491535,2.2176767,2.744611,7.6558949,7.991974,0.01082092
88,0.7710771,0.1798294,2.0760369,2.7208229,7.6821394,7.9931702,0.01086665
89,0.7739495,0.1616141,2.1174543,2.7213595,7.6705539,7.999396,0.01083164
90,0.7772238,0.1520161,2.170118,2.700793,7.6804982,7.9903406,0.01089806
91,0.7814897,0.129813,2.289232,2.7040231,7.645024,7.9780148,0.01091132
92,0.7823555,0.1588016,2.1792849,2.5992753,7.6753873,7.9782049,0.01089944
93,0.7810285,0.1590732,2.1779605,2.644266,7.6605187,7.9766409,0.01087483
94,0.7804341,0.1503151,2.1617468,2.64856,7.6597194,7.9967489,0.0109234
95,0.7744614,0.1805116,2.0521817,2.6489319,7.6891668,7.9997536,0.01089763
96,0.7789548,0.1589043,2.1638521,2.6607605,7.6661944,7.9846886,0.01093267
97,0.7753792,0.154757,2.1792248,2.7039455,7.6647408,7.9917481,0.0109538
98,0.7762554,0.1682898,2.1070643,2.6606904,7.6793412,7.9949707,0.01091829
99,0.7762444,0.1563603,2.1411122,2.684114,7.6772192,7.9991144,0.01095149
100,0.7820146,0.1518992,2.195396,2.6110999,7.6750815,7.9843132,0.010919
101,0.7827968,0.1578037,2.1390159,2.5975654,7.6843414,7.9894828,0.01095983
102,0.784101,0.1407756,2.221827,2.6197788,7.6714078,7.9844309,0.0109306
103,0.7814123,0.155165,2.1754104,2.6214636,7.6750493,7.9844717,0.01093263
104,0.789054,0.1521273,2.1770183,2.4897047,7.6604129,7.9885998,0.01093674
105,0.7834693,0.1479287,2.1699616,2.5954773,7.6676781,7.996425,0.01093
106,0.7816904,0.1507321,2.167901,2.6240917,7.6662048,7.9935716,0.01094185
107,0.7800494,0.1532857,2.1598161,2.6368668,7.6740368,7.9942925,0.01096198
108,0.785039,0.1489851,2.1497839,2.5767284,7.6662791,7.9979544,0.0109675
109,0.7888739,0.1489888,2.1729094,2.5098774,7.6796686,7.9884494,0.01097534
110,0.7910619,0.1455841,2.1836893,2.4928438,7.6692258,7.9874883,0.01097434
111,0.7893307,0.159697,2.1089658,2.4676202,7.6711276,7.998369,0.01095932
112,0.7853008,0.1541778,2.149702,2.5598037,7.6767034,7.9911819,0.01097876
113,0.7903088,0.1469259,2.1710742,2.4842803,7.6614273,7.9945801,0.01098679
114,0.786207,0.1491567,2.1652676,2.5494932,7.6678508,7.9944992,0.01098626
115,0.7878865,0.147652,2.1402118,2.5372431,7.6781135,7.9985137,0.01096873
116,0.7869919,0.1493263,2.1534018,2.5418107,7.6687574,7.9958022,0.01097089
117,0.7919442,0.1502346,2.1448165,2.4617319,7.6749226,7.993235,0.01098829
118,0.7884464,0.1495867,2.1535065,2.5170384,7.6705858,7.9946207,0.01099397
119,0.7901766,0.136627,2.2131034,2.5333847,7.6735203,7.98726,0.01100509
120,0.7881502,0.1477543,2.1481846,2.5216748,7.6768535,7.9980647,0.01099999
121,0.7917772,0.139918,2.188137,2.4900193,7.6810813,7.99081,0.01099717
122,0.7900551,0.1460608,2.169484,2.4966344,7.6693936,7.9936511,0.01098605
123,0.7911227,0.1404267,2.1617364,2.5036853,7.6716264,7.9987287,0.01100338
124,0.7901663,0.140984,2.1859326,2.5176081,7.6744261,7.9913803,0.01099287
125,0.7902939,0.142929,2.1535223,2.5140197,7.6829475,7.996593,0.01101031
126,0.7892311,0.1456799,2.1519667,2.5193498,7.6775449,7.9966578,0.01099581
127,0.7883029,0.1356627,2.18501,2.5603871,7.6799039,7.9975098,0.01101109
128,0.7899896,0.1415229,2.175346,2.5178987,7.6763761,7.9938871,0.01100087
129,0.792089,0.1342921,2.1903882,2.5134452,7.6796398,7.9933308,0.01100634
130,0.7919607,0.1325706,2.1994133,2.513802,7.6796468,7.9936287,0.01101359
131,0.7927939,0.1298537,2.1884115,2.5118819,7.6846706,7.9975262,0.01101719
132,0.7912832,0.1313153,2.2065577,2.530833,7.6910036,7.9910708,0.01102467
133,0.7900013,0.13540460000000001,2.1863741,2.5363603,7.6815344,7.9956682,0.0110082
134,0.7909724,0.1384107,2.173368,2.5150383,7.6829384,7.9951327,0.01102126
135,0.7912562,0.1273644,2.1933672,2.5504343,7.6853966,7.9979758,0.01101176
136,0.7906669,0.130681,2.1921091,2.5393381,7.688757,7.9970034,0.01102387
137,0.7944641,0.1242887,2.2038651,2.5079432,7.6931376,7.9948324,0.01101454
138,0.7931693,0.1202805,2.2212067,2.5363725,7.6912656,7.9955464,0.01102281
139,0.7921165,0.1299339,2.2001664,2.5216346,7.6843427,7.9946439,0.01101629
140,0.7918471,0.1291912,2.203206,2.5293836,7.689466,7.9936628,0.01102672
141,0.792616,0.1239526,2.2005555,2.5368166,7.6932218,7.9975384,0.01102978
142,0.7919246,0.1268695,2.1974631,2.5386951,7.6877415,7.9969971,0.01103409
143,0.7933644,0.1227842,2.1979976,2.5276322,7.6901321,7.9994852,0.01104245
144,0.7954438,0.1186621,2.2110574,2.5137758,7.6912994,7.9969719,0.01103524
145,0.7927832,0.1250866,2.200656,2.5305494,7.6891814,7.9969902,0.01102709
146,0.793217,0.1261814,2.1971506,2.5186984,7.6880218,7.9972102,0.01102805
147,0.7946416,0.1202966,2.2099549,2.5165301,7.6931781,7.9968713,0.01103753
148,0.7946827,0.1172401,2.2177284,2.5276584,7.6960565,7.9965384,0.01104041
149,0.795235,0.1221276,2.192513,2.5070796,7.6944095,7.9985328000000004,0.01104413
150,0.7936273,0.1224262,2.2030374,2.5267932,7.6931287,7.9973719,0.01105195
151,0.7944816,0.1224391,2.2046233,2.5139274,7.6930859,7.9962305,0.01104882
152,0.7940249,0.1216581,2.2022417,2.5226298,7.6918292,7.9982857,0.01103653
153,0.7941895,0.1214151,2.2046953,2.5218634,7.6932192,7.9973051,0.01103933
154,0.7949242,0.1180274,2.2081069,2.522585,7.6935781,7.9986045,0.01105074
155,0.7956807,0.1175982,2.2124436,2.5138676,7.6954178,7.9966557,0.01104178
156,0.7946454,0.1202035,2.2066646,2.5193897,7.6936046,7.9973338,0.01105306
157,0.7944928,0.1198357,2.2047465,2.5219277,7.6974488,7.9978736,0.01105508
158,0.7955472,0.1169231,2.2011917,2.5231938,7.6989014,7.9990268,0.01104628
159,0.7955421,0.1170472,2.2055787,2.519381,7.6983328,7.9984101,0.01104702
160,0.7957913,0.1199463,2.190465,2.5083532,7.6966397,7.9998295,0.01105609
161,0.7951529,0.1184702,2.2046317,2.5191094,7.6952182,7.9984963,0.01105788
162,0.7953014,0.1202155,2.1978446,2.5123592,7.6957013,7.9984574,0.01105919
163,0.7954927,0.118169,2.2065933,2.5156275,7.6962291,7.997669,0.0110533
164,0.795257,0.1185798,2.2028508,2.5179582,7.6962135,7.9985203,0.01105397
165,0.7953276,0.1193162,2.1998745,2.5150497,7.6964978,7.9985061,0.01105459
166,0.79516,0.1190472,2.1949758,2.5196604,7.6984489,7.9997199,0.0110548
167,0.7949651,0.1191562,2.2019513,2.5195969,7.6974772,7.9984378,0.01105865
168,0.7955207,0.1185655,2.1951615,2.5171201,7.6992191,7.9994564,0.01105934
169,0.7953743,0.1188819,2.1990476,2.516467,7.6973338,7.9988264,0.01105633
170,0.7960134,0.1176475,2.1935222,2.5151282,7.6988147,7.9999852,0.01106091
171,0.7958172,0.1175104,2.1945841,2.5178119,7.6994517,7.9999828,0.0110615
172,0.7955919,0.1176603,2.2002811,2.5181294,7.698456,7.9990384,0.01106412
173,0.7956998,0.1189193,2.1935422,2.5134302,7.6977608,7.9996822,0.01106385
174,0.7955905,0.1175741,2.1982681,2.5200369,7.6987966,7.9993355,0.01106388
175,0.7962512,0.1169119,2.1968106,2.5142252,7.6990507,7.9994403,0.01106034
176,0.7957037,0.1177575,2.1977979,2.5172108,7.6986525,7.9993428,0.01106074
177,0.795758,0.1182902,2.1947831,2.5151762,7.6983792,7.9996364,0.01106088
178,0.7960975,0.117987,2.1926184,2.5121872,7.6990593,7.9999458,0.0110614
179,0.7958067,0.1177881,2.1961889,2.5162428,7.6988241,7.999542,0.01106167
180,0.7960776,0.1171799,2.1948454,2.5157289,7.6997607,7.9998145,0.01106444
181,0.7957657,0.1180348,2.1949616,2.5161704,7.6991896,7.9996208,0.01106211
182,0.7959052,0.1176667,2.195373,2.5157257,7.6990226,7.9996701,0.01106535
183,0.7962884,0.116933,2.1942897,2.5140987,7.6991969,7.9999922,0.011062840000000001
184,0.795998,0.1175142,2.194909,2.5152945,7.6991225,7.9997651,0.01106607
185,0.7960509,0.1174935,2.1940992,2.5150096,7.6990441,7.9999043,0.01106647
186,0.7961531,0.1171741,2.1955174,2.5146235,7.6991616,7.9996706,0.0110645
187,0.7960394,0.1174469,2.1946174,2.5151023,7.6992008,7.9998251,0.01106456
188,0.7961069,0.1172503,2.1947249,2.5148412,7.6995662,7.9998393,0.0110647
189,0.7961121,0.1172793,2.1948987,2.5147926,7.6992671,7.9997853,0.01106609
190,0.7961272,0.1172664,2.1940364,2.5147179,7.6995665,7.9999616,0.01106503
191,0.7967704,0.1169271,2.1935386,2.5075595,7.699305,7.9997036,0.0110651
192,0.7963772,0.1172352,2.1931191,2.5115852,7.6995511,7.9999671,0.01106666
193,0.7961944,0.1175595,2.1933554,2.5126379,7.6992752,7.9999128,0.0110655
194,0.796282,0.1170847,2.1941131,2.5134719,7.6993505,7.9999293,0.01106695
195,0.796386,0.1167551,2.1947705,2.5133303,7.6997581,7.9998257,0.01106583
196,0.7967965,0.1167236,2.1927617,2.5085145,7.6995136,7.9999222,0.01106593
197,0.7968355,0.1168175,2.192601,2.5073308,7.6992543,7.9999553,0.01106689
198,0.7970824,0.1166931,2.1921873,2.5045753,7.6997732,7.9998091,0.01106623
199,0.7972888,0.1164508,2.1922897,2.5029139,7.6994852,7.9997661,0.01106631
200,0.7973309,0.1168607,2.1907286,2.5008294,7.6992026,7.9998821,0.01106634
201,0.7982979,0.115766,2.1908153,2.4926913,7.6991648,7.9995852,0.01106642
202,0.7977736,0.1161768,2.1902559,2.498059,7.6994929,7.9999364,0.011066930000000001
203,0.7980212,0.1160729,2.1904118,2.495197,7.6996231999999996,7.9996784,0.01106653
204,0.7984685,0.1159498,2.1894679,2.4895742,7.6994004,7.9996302,0.01106707
205,0.7975765,0.1165228,2.1908166,2.4989989,7.6993463,7.9998082,0.0110672
206,0.7984511,0.1159429,2.1890286,2.490118,7.6994484,7.9997164,0.01106755
207,0.7975903,0.1163825,2.19116,2.4993408,7.699593,7.9997675,0.01106749
208,0.7978385,0.1162856,2.1905033,2.4965812,7.6994,7.9997636,0.01106691
209,0.797866,0.1162074,2.1906202,2.4965221,7.6995073,7.9997429,0.01106702
210,0.7984543,0.1157529,2.1896967,2.490806,7.699479,7.9996662,0.01106743
211,0.7980552,0.1160755,2.1902831,2.4946315,7.699471,7.9997225,0.01106757
212,0.7981101,0.1162243,2.1888994,2.4934372,7.6998069,7.9998649,0.01106788
213,0.7980168,0.1160899,2.1899436,2.4951765,7.6995156,7.9998248,0.01106785
214,0.7984521,0.1159354,2.1888662,2.4901381,7.6996201,7.9997378,0.01106807
215,0.7981733,0.1160277,2.1898644,2.4933693,7.6995841,7.9997092,0.01106858
216,0.7981842,0.116031,2.1896237,2.4932085,7.699536,7.9997728,0.01106849
217,0.7985334,0.1159178,2.1886631,2.489058,7.6995128,7.9997535,0.01106848
218,0.7982979,0.1159924,2.1893637,2.4918652,7.6995403,7.9997505,0.01106874
219,0.7985253,0.1159153,2.1888435999999998,2.4891786,7.6995489,7.9997059,0.01106929
220,0.7983617,0.1164368,2.1874911,2.48914,7.6997108,7.9998719,0.01106931
221,0.7983428,0.1161744,2.1877961,2.4907825,7.6998156,7.9999199,0.01106948
222,0.798324,0.1162584,2.1878245,2.4904602,7.69989,7.9999016,0.01106992
223,0.7982667,0.1161653,2.1885734,2.4916151,7.699745,7.99984,0.01106884
224,0.7983325,0.1163539,2.187531,2.48994,7.6997876,7.9999265,0.01106995
225,0.7984427,0.1160665,2.1884117,2.4896723,7.6996463,7.9997874,0.01106904
226,0.7985124,0.1162373,2.1873324,2.4880692,7.6997094,7.9998802,0.01106918
227,0.7984597,0.1160861,2.1881971,2.4893677,7.6996364,7.9998174,0.01106929
228,0.798335,0.1164491,2.186979,2.4895809,7.6998703,7.9999851,0.0110699
229,0.7984139,0.1162022,2.1878447,2.4895149,7.6997168,7.9998658,0.01106947
230,0.798417,0.1164715,2.1872048,2.4881193,7.6997461,7.9998905,0.01107006
231,0.7983135,0.116699,2.186492,2.488625,7.6999234,7.9999963,0.01106956
232,0.7983831,0.1163862,2.1869635,2.4891249,7.6999314,7.9999882,0.01107015
233,0.7984775,0.116543,2.1863361,2.4871097,7.6999601,7.999968,0.0110697
234,0.7983652,0.1163614,2.1873546,2.4894492,7.6998734,7.9999265,0.01106976
235,0.7984471,0.1163612,2.1871104,2.4883687,7.6997967,7.9999197,0.01107021
236,0.798402,0.1164691,2.1870387,2.4884145,7.6998193,7.9999272,0.0110699
237,0.7983791,0.116423,2.1870873,2.4889932,7.6998784,7.9999453,0.01107017
238,0.7984658,0.1165114,2.186697,2.4872978,7.6998995,7.9999298,0.01107025
239,0.7984253,0.1164332,2.1869397,2.4883148,7.6998494,7.9999394,0.01107042
240,0.7984128,0.1165295,2.1864665,2.4880739,7.6999948,7.9999951,0.01107041
241,0.7984469,0.1166111,2.186211,2.4871888,7.6999744,7.9999936,0.01107052
242,0.798421,0.11649,2.186734,2.488109,7.699898,7.999959,0.01107019
243,0.7984627,0.1167418,2.1860152,2.4863432,7.6999521,7.9999591,0.01107049
244,0.7983806,0.1166351,2.1864509,2.4879894,7.699935,7.9999819,0.01107027
245,0.798431,0.1165426,2.1865482,2.4877214,7.6999255,7.9999651,0.01107058
246,0.7984151,0.1166075,2.186415,2.4876393,7.699943,7.9999751,0.01107033
247,0.7984389,0.1165667,2.1864525,2.4874984,7.6999397,7.9999676,0.01107064
248,0.79845410000000006,0.1165557,2.1865065,2.4873033,7.6999301000000004,7.9999531,0.01107042
249,0.7984319,0.1165994,2.1863731,2.4874461,7.6999508,7.9999739,0.01107062
250,0.7984433,0.1165817,2.1863853,2.4873713,7.69995,7.9999707,0.01107067
251,0.79845,0.1165784,2.1864022,2.4872794,7.6999469,7.9999649,0.01107079
252,0.7984658,0.1165958,2.1862323,2.4870094,7.6999753,7.9999765,0.01107079
253,0.7984353,0.1165691,2.1863651,2.4875621,7.6999773,7.9999836,0.01107083
254,0.7984498,0.1165941,2.1863228,2.4872267,7.6999572,7.9999725,0.011071
255,0.7984627,0.1166399,2.1860919,2.4868672,7.6999852,7.9999862,0.01107063
256,0.7984866,0.1166728,2.186038,2.4863529,7.6999575,7.9999683,0.01107066
257,0.7984842,0.116674,2.1859854,2.486397,7.6999777,7.9999781,0.01107069
258,0.7984495,0.1168818,2.1856148,2.4858598,7.6999909,7.9999949,0.0110707
259,0.7984577,0.1166561,2.1861036,2.4868302,7.6999738,7.9999854,0.0110709
260,0.7984687,0.1168264,2.1857174,2.4858741,7.6999704,7.9999808,0.01107074
261,0.7984655,0.1167335,2.1859702,2.4863534,7.699964,7.9999707,0.01107096
262,0.7984636,0.1166971,2.1860033,2.4865571,7.699974,7.9999826,0.01107103
263,0.7984662,0.1166938,2.1859901,2.4865498,7.6999788,7.9999827,0.01107083
264,0.7984741,0.1167485,2.1858128,2.4861769,7.6999858,7.9999918,0.01107104
265,0.7984771,0.1167132,2.185946,2.4862943,7.6999686,7.9999768,0.01107088
266,0.7984763,0.1168155,2.1856855,2.4858269,7.6999834,7.9999858,0.0110709
267,0.7984689,0.1167352,2.1858918,2.4863107,7.6999791,7.9999837,0.01107092
268,0.7984634,0.1168472,2.1856232,2.4858541,7.6999939,7.999995,0.01107094
269,0.7984494,0.1169441,2.1854631,2.4855705,7.6999902,7.9999992,0.01107094
270,0.7984662,0.1167895,2.1857723,2.4860855,7.6999825,7.9999875,0.01107095
271,0.7984659,0.1168321,2.1856897,2.4858848,7.6999791,7.9999866,0.01107096
272,0.79846,0.1169002,2.185524,2.4856388,7.699992,7.999997,0.01107097
273,0.7984674,0.1168093,2.1857064,2.4859747,7.699987,7.9999925,0.01107103
274,0.7984635,0.1168492,2.1856462,2.4858362,7.6999843,7.9999903,0.01107098
275,0.7984533,0.1169367,2.1854792,2.4855541,7.6999912,7.9999949,0.01107099
276,0.7984664,0.1168543,2.185622,2.4857729,7.6999869,7.9999905,0.01107106
277,0.7984602,0.1168716,2.1856003,2.4857723,7.6999876,7.9999928,0.01107107
278,0.7984681,0.1169029,2.1854892,2.4855277,7.6999896,7.9999949,0.01107109
279,0.7984627,0.1168774,2.1855759,2.4857129,7.6999888,7.9999931,0.01107111
280,0.7984587,0.1169312,2.1854512,2.4855137,7.6999943,7.9999985,0.01107116
281,0.7984611,0.1168813,2.1855602,2.4857202,7.6999925,7.9999956,0.01107105
282,0.7984606,0.1168967,2.1855352,2.4856502,7.6999902,7.9999949,0.01107112
283,0.7984556,0.1169559,2.1854205,2.4854315,7.69999,7.9999975,0.01107107
284,0.7984544,0.1169603,2.1854072,2.4854286,7.6999922,7.9999992,0.01107107
285,0.7984583,0.1169193,2.1854879,2.4855716,7.6999916,7.9999972,0.01107108
286,0.7984553,0.1169361,2.1854662,2.4855307,7.6999913,7.9999963,0.01107113
287,0.7984539,0.1169392,2.1854584,2.4855355,7.6999908,7.9999983,0.01107109
288,0.7984571,0.1169559,2.1854097,2.4854176,7.6999912,7.9999977,0.01107115
289,0.798462,0.1169247,2.1854624,2.485502,7.6999906,7.9999964,0.0110711
290,0.7984586,0.1169529,2.1854036,2.4854123,7.6999918,7.9999995,0.01107116
291,0.7984558,0.116943,2.1854421,2.4854932,7.6999913,7.9999982,0.01107118
292,0.7984586,0.1169529,2.1854036,2.4854123,7.6999918,7.9999995,0.01107113
